,SensorData.Acceleration.X,SensorData.Acceleration.Y,SensorData.Acceleration.Z,SensorData.Time,SensorData.Rotation.X,SensorData.Rotation.Y,SensorData.Rotation.Z,SensorData.Temperature
107,-0.06,-0.04,9.38,2023-12-10 21:00:54,-0.00,0.01,-0.02,29.94
108,-0.06,-0.01,9.35,2023-12-10 21:00:56,-0.00,0.01,-0.02,29.95
109,-0.09,-0.04,9.36,2023-12-10 21:00:59,-0.00,0.01,-0.02,29.96
110,-0.07,-0.02,9.35,2023-12-10 21:01:01,-0.00,0.01,-0.02,29.96
111,-0.08,0.00,9.34,2023-12-10 21:01:04,-0.00,0.01,-0.02,29.97
112,-0.09,0.02,9.35,2023-12-10 21:01:06,-0.00,0.01,-0.02,29.95
113,-0.07,-0.04,9.37,2023-12-10 21:01:09,-0.00,0.01,-0.02,29.97
114,-0.08,-0.03,9.35,2023-12-10 21:01:11,-0.00,0.01,-0.02,29.96
115,-0.09,-0.04,9.37,2023-12-10 21:01:14,-0.00,0.01,-0.02,29.95
116,-0.05,-0.01,9.36,2023-12-10 21:01:17,-0.00,0.01,-0.02,29.96
117,-0.05,-0.01,9.37,2023-12-10 21:01:19,0.00,0.01,-0.02,29.97
118,-0.06,-0.02,9.37,2023-12-10 21:01:21,-0.00,0.01,-0.02,29.97
119,-0.06,-0.03,9.35,2023-12-10 21:01:24,-0.00,0.01,-0.02,29.94
120,-0.07,-0.02,9.38,2023-12-10 21:01:26,-0.00,0.01,-0.02,29.94
121,-0.07,-0.02,9.36,2023-12-10 21:01:29,-0.00,0.01,-0.02,29.94
122,-0.08,0.00,9.34,2023-12-10 21:01:32,-0.00,0.01,-0.02,29.96
123,-0.07,-0.02,9.35,2023-12-10 21:01:34,-0.00,0.01,-0.02,29.94
124,-0.06,-0.01,9.38,2023-12-10 21:01:37,-0.00,0.01,-0.02,29.94
125,-0.07,-0.02,9.36,2023-12-10 21:01:39,-0.00,0.01,-0.02,29.93
126,-0.06,-0.03,9.35,2023-12-10 21:01:42,-0.00,0.01,-0.02,29.95
