,SensorData.Acceleration.X,SensorData.Acceleration.Y,SensorData.Acceleration.Z,SensorData.Time,SensorData.Rotation.X,SensorData.Rotation.Y,SensorData.Rotation.Z,SensorData.Temperature
162,0.82,-7.18,6.36,2023-12-10 21:58:09,-0.10,0.00,-0.02,30.65
163,1.59,4.24,8.19,2023-12-10 21:58:12,0.43,-0.09,-0.05,30.64
164,2.09,-1.13,8.28,2023-12-10 21:58:14,-0.36,0.01,-0.05,30.66
165,1.34,2.34,9.78,2023-12-10 21:58:17,1.64,0.34,-0.40,30.64
166,1.33,-6.44,6.82,2023-12-10 21:58:19,-1.81,0.12,0.05,30.67
167,0.84,4.90,7.95,2023-12-10 21:58:22,0.06,0.00,-0.14,30.64
168,1.30,-8.05,5.11,2023-12-10 21:58:24,-0.08,-0.01,-0.05,30.64
169,0.69,6.31,6.83,2023-12-10 21:58:27,0.07,0.04,-0.09,30.64
170,0.06,-7.55,6.08,2023-12-10 21:58:30,-0.32,-0.03,-0.02,30.64
171,-0.08,7.34,5.40,2023-12-10 21:58:32,-0.19,-0.09,0.06,30.64
172,0.29,-8.91,3.84,2023-12-10 21:58:35,0.58,0.13,-0.14,30.66
173,0.46,6.45,6.91,2023-12-10 21:58:38,0.02,0.08,0.05,30.66
174,-0.69,-7.46,5.68,2023-12-10 21:58:40,-0.08,-0.04,-0.08,30.64
175,0.39,-8.02,4.81,2023-12-10 21:58:42,-1.33,0.01,-0.08,30.66
176,0.44,5.53,7.67,2023-12-10 21:58:45,0.88,0.22,-0.18,30.67
177,0.89,-3.97,8.49,2023-12-10 21:58:48,-0.16,-0.05,-0.04,30.67
178,-0.16,0.10,10.01,2023-12-10 21:58:50,-0.13,-0.35,0.16,30.66
179,2.30,-0.24,8.84,2023-12-10 21:58:53,-2.70,0.01,0.24,30.65
180,1.53,-3.40,7.74,2023-12-10 21:58:55,2.00,0.49,0.05,30.66
181,-0.67,5.15,7.96,2023-12-10 21:58:58,-3.03,0.57,0.70,30.66
182,-0.45,-7.51,5.89,2023-12-10 21:59:01,0.00,0.00,0.06,30.64
183,0.71,4.92,7.89,2023-12-10 21:59:03,-0.25,-0.02,0.01,30.65
184,0.19,-5.96,7.68,2023-12-10 21:59:06,-0.07,0.02,0.00,30.65
185,0.23,6.33,6.96,2023-12-10 21:59:09,0.08,-0.02,-0.04,30.66
186,-0.19,6.11,7.14,2023-12-10 21:59:11,-0.23,0.01,0.02,30.67
187,0.75,-5.57,7.99,2023-12-10 21:59:14,0.40,-0.01,0.11,30.67
188,1.13,5.64,7.31,2023-12-10 21:59:16,0.04,0.05,-0.01,30.65
189,0.91,-7.68,5.82,2023-12-10 21:59:19,0.27,-0.12,0.02,30.65
190,1.52,4.71,7.71,2023-12-10 21:59:21,-0.01,0.02,0.01,30.66
191,0.59,-5.84,7.45,2023-12-10 21:59:24,-0.03,-0.07,-0.13,30.65
192,-0.10,5.73,7.39,2023-12-10 21:59:26,-0.04,-0.03,0.01,30.60
193,0.73,-5.97,7.70,2023-12-10 21:59:29,-0.27,-0.00,0.08,30.61
194,0.27,4.82,8.34,2023-12-10 21:59:31,0.63,0.06,-0.15,30.57
195,0.57,1.43,9.26,2023-12-10 21:59:34,0.09,-0.06,-0.06,30.60
196,0.74,-5.91,6.67,2023-12-10 21:59:36,0.86,0.03,-0.06,30.58
197,0.71,-4.58,7.42,2023-12-10 21:59:39,-0.99,0.09,0.00,30.62
198,-0.04,2.53,9.60,2023-12-10 21:59:41,1.36,-0.03,0.01,30.59
199,0.75,-7.53,5.83,2023-12-10 21:59:44,-2.25,0.23,0.12,30.61
200,0.55,5.01,8.20,2023-12-10 21:59:46,0.09,0.01,-0.03,30.62
